#nodes      GHz      power    max mem  total mem
 32         2.00     4.00     1.00     1.00
420         2.00     4.00     2.00     2.00
121         2.20     4.40     2.00     2.00
 53         2.20     4.40     4.00     4.00
 32         2.40     4.80     1.50     1.50
269         2.40     4.80     2.00     2.00
 20         2.60     5.20     4.00     4.00
 51         3.00     6.00     2.00     2.00
120         1.60     6.40     2.00     2.00
 56         2.20     8.80     4.00     4.00
 80         2.26     9.04     8.00     8.00
 64         2.33     9.32     4.00     4.00
 32         2.33     9.32     8.00     8.00
144         2.53    10.12    16.00    16.00
169         2.60    10.40     4.00     4.00
 45         2.26    18.08    32.00    32.00
 84         2.27    18.16    24.00    24.00
  8         2.40    19.20     8.00     8.00
 20         2.40    19.20    16.00    16.00
 34         2.50    20.00     8.00     8.00
 92         2.50    20.00    16.00    16.00
 64         2.50    20.00    32.00    32.00
 10         2.60    20.80    32.00    32.00
 46         2.83    22.64     8.00     8.00
 25         2.93    23.44    24.00    24.00
 40         1.70    40.80    48.00    48.00
